"tid","Anser.det.som.fornuftigt.at.spare.op.i.den.nuvaerende.oekonomiske.situation","Anskaffelse.af.stoerre.forbrugsgoder..fordelagtigt.for.oejeblikket","Anskaffelse.af.stoerre.forbrugsgoder..inden.for.de.naeste.12.mdr.","Arbejdsloesheden.om.et.aar..sammenlignet.med.i.dag","Danmarks.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Danmarks.oekonomiske.situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske..situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Familiens.oekonomiske.situation.lige.nu..kan.spare.penge.slaar.til..bruger.mere.end.man.tjener","Priser.i.dag..sammenlignet.med.for.et.aar.siden","Priser.om.et.aar..sammenlignet.med.i.dag","Regner.med.at.kunne.spare.op.i.de.kommende.12.maaneder","indikator","forbrug","realvaekst"
"2022K3",61.3666666666667,-37.4666666666667,-18.3333333333333,17.2666666666667,-49.8,19.7,7,-24.0666666666667,19.5,70.4,13.7,23.1666666666667,8.53611111111112,282.3,-0.633579725448785
"2022K4",62.7333333333333,-44.4333333333333,-24.8666666666667,29.1,-60.2,16.0333333333333,8.1,-31.8,18.5333333333333,71.4333333333333,8.13333333333333,14.9666666666667,5.64444444444444,278.5,-1.34608572440666
"2023K1",64.3333333333333,-41.1,-17.4333333333333,24.8,-49.7333333333333,4.46666666666667,0.366666666666667,-28.1333333333333,20.2333333333333,62.2333333333333,-9.16666666666667,24.1333333333333,4.58333333333333,277.7,-0.287253141831245
"2023K2",59.7,-32.5333333333333,-8.5,14.3,-25.9,-2.5,-3.56666666666667,-21.2,21.7666666666667,51.6,-16.0333333333333,25.2,5.19444444444445,275,-0.972272236226135
"2023K3",61.9,-29.4333333333333,-9.53333333333333,9.53333333333333,-14.2666666666667,-1.66666666666667,-1.8,-16.3,22.5666666666667,39.2333333333333,-9.33333333333333,26.4333333333333,6.44444444444444,270.9,-1.4909090909091
"2023K4",65.1666666666667,-25.9333333333333,-10.0666666666667,12.2666666666667,-13.4,5.66666666666667,-2.9,-16.3,21.1333333333333,26.2,-1.53333333333333,26.6,7.24166666666667,273.6,0.996677740863805
"2024K1",63,-20.5666666666667,-6.86666666666667,10.5666666666667,-7.6,3.66666666666667,-3.56666666666667,-10.6666666666667,22.9333333333333,18.1333333333333,4.2,26.2333333333333,8.28888888888888,275.3,0.621345029239762
"2024K2",63.5666666666667,-18.5666666666667,-5.66666666666667,7.73333333333333,-6.33333333333333,5,-5.13333333333333,-7.73333333333333,26.5666666666667,21.6666666666667,11,29.7,10.15,276.5,0.435888122048667
"2024K3",65.0333333333333,-15.1,-5.1,7.16666666666667,-7.3,8.56666666666667,-3.4,-5.2,25.8333333333333,26.6333333333333,18.1666666666667,27.0333333333333,11.8611111111111,277.3,0.289330922242326
"2024K4",65.8333333333333,-15.7333333333333,-6.4,12.3,-13.1666666666667,12.4666666666667,0.733333333333333,-10.0666666666667,25.4,29,24.6,27.6666666666667,12.7194444444444,278.8,0.540930400288486
"2025K1",65.0333333333333,-15.1666666666667,-6.96666666666667,14.4666666666667,-19.3666666666667,26.2333333333333,2.56666666666667,-6.16666666666667,27.7,34.6333333333333,36.3333333333333,27.6333333333333,15.5777777777778,281,0.789096126255373
"2025K2",63.5,-13.7333333333333,-8.13333333333333,16,-25.7,27.7,5.53333333333333,-11.5666666666667,25.5,42.5333333333333,39.3333333333333,24.6333333333333,15.4666666666667,282.3,0.462633451957295
